G01Q01 |LB+AE|   1761-07-08_El-Duende-especulativo-sobre-la-vida-civil_Juan-Antonio-Mercadal-(Francisco-Mariano-Nipho-o-Juan-Enrique-de-Graef)_Vol-1_Nr-07_093-241.txt
G00Q261|MT|1804_El-Regañón-general_Anónimo-(Ventura-Ferrer)_Vol-2_Nr-60_7944.txt
G00Q264|MT|1804_El-Regañón-general_Anónimo-(Ventura-Ferrer)_Vol-2_Nr-50_7903.txt
G00Q200|EX|1767_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-6_Nr-84_10A-767.txt
G00Q201|FP|1767_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-6_Nr-86_10A-769.txt
G00Q202|MT|1777_La-Pensatriz-salmantina_Escolástica-Hurtado_Vol-1_Nr-1_092-204.txt
G00Q203|FP|1779_El-Curioso-Entretenido_Juan-Nosip-y-Vargas_Vol-1_Nr-01_114-850.txt
G00Q204|LB|1779_El-Curioso-Entretenido_Juan-Nosip-y-Vargas_Vol-1_Nr-02_114-851.txt
G00Q205|FP|1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-1_Nr-03_096-324.txt
G00Q206|S|1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-1_Nr-07_096-328.txt
G00Q207|EX|1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-1_Nr-08_096-329.txt
G00Q208|EX|1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-1_Nr-10_096-331.txt
G00Q209|S|1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-1_Nr-13_096-334.txt
G00Q210|LB|1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-1_Nr-14_096-335.txt
G00Q211|FP|1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-1_Nr-17_096-338.txt
G00Q212|FP|1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-1_Nr-19_096-340.txt
G00Q213|LB|1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-1_Nr-21_096-342.txt
G00Q214|MT|1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-1_Nr-22_096-343.txt
G00Q215|D|1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-1_Nr-23_096-344.txt
G00Q216|FP|1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-2_Nr-025_103-401.txt
G00Q217|FP|1781_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-2_Nr-033_103-406.txt
G00Q218|D|1786-1788_El-Corresponsal-del-Censor_Anónimo-(Manuel-Rubín-de-Celis-y-Noriega)_Vol-1_Nr-000_1-617.txt
G00Q219|EX|1786-1788_El-Corresponsal-del-Censor_Anónimo_Vol-1_Nr-01_093-232.txt
G00Q220|FP|1786-1788_El-Corresponsal-del-Censor_Anónimo_Vol-1_Nr-10_105-640.txt
G00Q221|SP|1786-1788_El-Corresponsal-del-Censor_Anónimo_Vol-2_Nr-13_091-106.txt
G00Q222|MT (LB)|1786-1788_El-Corresponsal-del-Censor_Anónimo_Vol-2_Nr-16_091-109.txt
G00Q223|D|1786-1788_El-Corresponsal-del-Censor_Anónimo_Vol-2_Nr-17_091-110.txt
G00Q224|EX|1786-1788_El-Corresponsal-del-Censor_Anónimo_Vol-2_Nr-19_091-112.txt
G00Q225|FP|1786-1788_El-Corresponsal-del-Censor_Anónimo_Vol-2_Nr-20_105-615.txt
G00Q226|MT|1786-1788_El-Corresponsal-del-Censor_Anónimo_Vol-2_Nr-21_091-114.txt
G00Q227|S|1786_El-Apologista-Universal_Anónimo_Vol-1_Nr-04_114-853.txt
G00Q228|S|1786_El-Apologista-Universal_Anónimo_Vol-1_Nr-10_114-867.txt
G00Q229|D|1786_El-Apologista-Universal_Anónimo_Vol-1_Nr-11_115-868.txt
G00Q230|S|1786_El-Apologista-Universal_Anónimo_Vol-1_Nr-12_115-869.txt
G00Q231|MT|1786_El-Apologista-Universal_Anónimo_Vol-1_Nr-14_115-870.txt
G00Q232|FP|1786_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-4_Nr-086_103-443.txt
G00Q233|L|1786_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-5_Nr-091_104-553.txt
G00Q234|D|1786_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-5_Nr-098_104-560.txt
G00Q235|S|1786_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-5_Nr-099_104-561.txt
G00Q236|LB|1786_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-5_Nr-100_104-562.txt
G00Q237|LB|1786_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-5_Nr-102_104-564.txt
G00Q238|FP|1786_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-5_Nr-103_104-565.txt
G00Q239|FP|1786_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-5_Nr-104_104-566.txt
G00Q240|S|1786_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-6_Nr-113_104-575.txt
G00Q241|EX|1786_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-6_Nr-126_104-587.txt
G00Q242|EX|1786_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-6_Nr-127_104-588.txt
G00Q243|TR|1786_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-6_Nr-130_104-591.txt
G00Q244|SP|1787-1788_El-Duende-de-Madrid_Pedro-Pablo-Trullench_Vol-1_Nr-1_091-81.txt
G00Q245|TR|1787-1788_El-Duende-de-Madrid_Pedro-Pablo-Trullench_Vol-1_Nr-4_091-83.txt
G00Q246|D|1787-1788_El-Duende-de-Madrid_Pedro-Pablo-Trullench_Vol-1_Nr-6_091-85.txt
G00Q247|TR|1787-1788_El-Duende-de-Madrid_Pedro-Pablo-Trullench_Vol-1_Nr-7_091-86.txt
G00Q248|LB|1787_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-7_Nr-142_105-603.txt
G00Q249|EX|1787_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-7_Nr-146_105-607.txt
G00Q250|EX|1787_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-7_Nr-147_105-608.txt
G00Q251|S|1787_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-8_Nr-155_105-626.txt
G00Q252|FP|1787_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-8_Nr-160_105-631.txt
G00Q253|TR|1787_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-8_Nr-161_105-632.txt
G00Q254|D|1787_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-8_Nr-163_105-634.txt
G00Q255|MT|1787_El-Censor_Anonym-(García-de-Cañuelo,-Luis+-Pereira,-Luis-Marcelino)_Vol-8_Nr-165_105-636.txt
G00Q258|EX|1787_El-Corresponsal-del-Apologista_Anonym_Vol-1_Nr-1_091-92.txt
G00Q260|D|1787_El-Observador_Marchena,-José_Vol-1_Nr-02_113-844.txt
G00Q261|TR|1787_El-Observador_Marchena,-José_Vol-1_Nr-04_113-846.txt
G00Q262|??|??
G00Q263|EX|1788_El-Filósofo-á-la-Moda_Anónimo_Vol-1_Nr-001_099-385.txt
G00Q265|MT|1788_El-Filósofo-á-la-Moda_Anónimo_Vol-1_Nr-003_099-387.txt
G00Q266|MT|1788_El-Filósofo-á-la-Moda_Anónimo_Vol-1_Nr-004_099-388.txt
G00Q267|MT|1788_El-Filósofo-á-la-Moda_Anónimo_Vol-1_Nr-006_099-390.txt
G00Q268|FP|1788_El-Filósofo-á-la-Moda_Anónimo_Vol-1_Nr-008_099-392.txt
G00Q269|MT|1788_El-Filósofo-á-la-Moda_Anónimo_Vol-1_Nr-009_099-393.txt
G00Q270|LB|1788_El-Filósofo-á-la-Moda_Anónimo_Vol-1_Nr-010_099-394.txt
